Titulo,Link,Fecha_lanzamiento,Editor,País,Duración,Edad_mínima,Año_grabación,Subtítulos
Soldado Universal: Regeneración BLU RAY 2009 Universal Soldier: Regeneration,https://www.elcorteingles.es/cine/A35857729-soldado-universal-regeneracion-blu-ray-2009-universal-soldier-regeneration/?parentCategoryId=999.54220013&color=default,9 de enero de 2024,DVD STORE,N/A,N/A,N/A,N/A,N/A
El Trueno Azul Blue Thunder,https://www.elcorteingles.es/cine/A41478931-el-trueno-azul-blue-thunder/?parentCategoryId=999.54220013&color=default,9 de enero de 2024,DVD STORE,N/A,N/A,N/A,N/A,N/A
Spy Kids (DVD),https://www.elcorteingles.es/cine/MP_0000572_cine7792-spy-kids-dvd/?parentCategoryId=999.54220013&color=default,2 de noviembre de 2009,"SAVOR EDICIONES, S.A.",N/A,N/A,N/A,N/A,N/A
Rapid Fire BD 1992,https://www.elcorteingles.es/cine/A37758259-rapid-fire-bd-1992/?parentCategoryId=999.54220013&color=default,9 de enero de 2024,DVD STORE,N/A,N/A,N/A,N/A,N/A
Starsky & Hutch: La película (Starsky and Hutch: The Movie),https://www.elcorteingles.es/cine/MP_0008858_8435153736322-starsky-and-hutch-la-pelicula-starsky-and-hutch-the-movie/?parentCategoryId=999.54220013&color=default,Dato no disponible,Acción y Aventuras,N/A,N/A,N/A,N/A,N/A
Tormenta Blanca BD 1996 White Squall,https://www.elcorteingles.es/cine/A37217772-tormenta-blanca-bd-1996-white-squall/?parentCategoryId=999.54220013&color=default,9 de enero de 2024,DVD STORE,N/A,N/A,N/A,N/A,N/A
Sin escape BD 1993 Nowhere to Run,https://www.elcorteingles.es/cine/A36230304-sin-escape-bd-1993-nowhere-to-run/?parentCategoryId=999.54220013&color=default,9 de enero de 2024,DVD STORE,N/A,N/A,N/A,N/A,N/A
Volar por los Aires Blown Away,https://www.elcorteingles.es/cine/A48220581-volar-por-los-aires-blown-away/?parentCategoryId=999.54220013&color=default,9 de enero de 2024,DVD STORE,N/A,N/A,N/A,N/A,N/A
6 Balas BD 2012 6 Bullets,https://www.elcorteingles.es/cine/A39167884-6-balas-bd-2012-6-bullets/?parentCategoryId=999.54220013&color=default,9 de enero de 2024,DVD STORE,N/A,N/A,N/A,N/A,N/A
El Hidalgo de los Mares BD 1951 Captain Horatio Hornblower,https://www.elcorteingles.es/cine/A45983962-el-hidalgo-de-los-mares-bd-1951-captain-horatio-hornblower/?parentCategoryId=999.54220013&color=default,,DVD STORE,N/A,N/A,N/A,N/A,N/A
El Hombre De Rio (L'Homme De Rio),https://www.elcorteingles.es/cine/MP_0008858_8436558190764-el-hombre-de-rio-lhomme-de-rio/?parentCategoryId=999.54220013&color=default,Castellano,Acción y Aventuras,N/A,N/A,N/A,N/A,N/A
Libertad Para Morir BD 1985 Death Warrant,https://www.elcorteingles.es/cine/A35395539-libertad-para-morir-bd-1985-death-warrant/?parentCategoryId=999.54220013&color=default,9 de enero de 2024,DVD STORE,N/A,N/A,N/A,N/A,N/A
Eliminators BD 2016,https://www.elcorteingles.es/cine/A45038988-eliminators-bd-2016/?parentCategoryId=999.54220013&color=default,9 de enero de 2024,DVD STORE,N/A,N/A,N/A,N/A,N/A
Ataque Terrorista BD 2009 Command Performance,https://www.elcorteingles.es/cine/A45697510-ataque-terrorista-bd-2009-command-performance/?parentCategoryId=999.54220013&color=default,9 de enero de 2024,DVD STORE,N/A,N/A,N/A,N/A,N/A
Bailando con Lobos BD + DVD Edición Metálica Limitada+ 8 Postales 1990 Dance With Wolves,https://www.elcorteingles.es/cine/A33303083-bailando-con-lobos-bd--dvd-edicion-metalica-limitada-8-postales-1990-dance-with-wolves/?parentCategoryId=999.54220013&color=default,9 de enero de 2024,DVD STORE,N/A,N/A,N/A,N/A,N/A
"Robin Hood, el Magnífico BD 1991 Robin Hood",https://www.elcorteingles.es/cine/A38877077-robin-hood-el-magnifico-bd-1991-robin-hood/?parentCategoryId=999.54220013&color=default,9 de enero de 2024,DVD STORE,N/A,N/A,N/A,N/A,N/A
Kill Switch BD 2008,https://www.elcorteingles.es/cine/A45038992-kill-switch-bd-2008/?parentCategoryId=999.54220013&color=default,9 de enero de 2024,DVD STORE,N/A,N/A,N/A,N/A,N/A
El Pastor de las Colinas BD 1941 The Shepherd of the Hills,https://www.elcorteingles.es/cine/A39358331-el-pastor-de-las-colinas-bd-1941-the-shepherd-of-the-hills/?parentCategoryId=999.54220013&color=default,9 de enero de 2024,DVD STORE,N/A,N/A,N/A,N/A,N/A
Plan De Escape 3 BLU-RAY 2019 Escape Plan: The Extractors,https://www.elcorteingles.es/cine/A47163337-plan-de-escape-3-blu-ray-2019-escape-plan-the-extractors/?parentCategoryId=999.54220013&color=default,9 de enero de 2024,DVD STORE,N/A,N/A,N/A,N/A,N/A
Hombres de Élite BD 2015 Life on the Line,https://www.elcorteingles.es/cine/A45983961-hombres-de-elite-bd-2015-life-on-the-line/?parentCategoryId=999.54220013&color=default,9 de enero de 2024,DVD STORE,N/A,N/A,N/A,N/A,N/A
A Sangre Fría BD 2019 Cold Blood Legacy,https://www.elcorteingles.es/cine/A45983960-a-sangre-fria-bd-2019-cold-blood-legacy/?parentCategoryId=999.54220013&color=default,9 de enero de 2024,DVD STORE,N/A,N/A,N/A,N/A,N/A
Infierno Blanco BLU-RAY 1953 Island In The Sky,https://www.elcorteingles.es/cine/A47163339-infierno-blanco-blu-ray-1953-island-in-the-sky/?parentCategoryId=999.54220013&color=default,,DVD STORE,N/A,N/A,N/A,N/A,N/A
